Cant_muest,ID_CIAT,ID,Cultivar,Location,Fecha,Easting,Northing,Elevation,Longitude,Latitude,Neutral_Detergent,Acid_Detergent,dry_matter,Dry_Weight,Fresh_Weight,Grass_Height,NDVI__handheld,DM_g_m2,Crude_Protein,In_vitro_digestibility,Ash,Blue,Green,Red,NIR,NIR/B,R/B,R/G,R/NIR,G/B,G/R,G/NIR,B/G,B/R,B/NIR,NDVI,LAI,EVI,MSAVI2,GRVI,RVI,GNDVI,SAVI,GOSAVI,DVI,VARI,RDVI,NLI,MSR,GLI,IPVI,coords.x1,coords.x2
21,F18-1106,1,Mulato II,Villa Paola,9/18/2018,1002192.724,720679.353,635.082,-77.03280712,2.041271803,69.38,38.96,92.52,18.1,53.3,30,0.66,66.98448,10.02,44.83,10.93,703,909,918,3365,4.786628723,1.305832148,1.009901047,0.272808313,1.293029904,0.990196049,0.270133734,0.773377359,0.765795231,0.208915308,0.571328521,1.446564674,0.432439119,0.727199376,3.701870203,3.665577412,0.574637353,0.856892705,0.574615836,2447,-0.004926108,0.208915308,0.999837875,0.914569736,0.057284094,0.78566426,1002192.724,720679.353
22,F18-1107,2,Mulato II,Villa Paola,9/18/2018,1002183.929,720683.215,634.799,-77.03283558,2.041284377,62.99,32.64,92.11,10.9,29.6,34,0.59,40.15996,9.7,57.37,10.22,791,946,1007,3338,4.219974518,1.273072004,1.064481974,0.301677644,1.195954442,0.939424038,0.283403248,0.836152196,0.78550148,0.236968249,0.536478698,1.258817434,0.38054657,0.698328257,3.528541327,3.314796448,0.558356702,0.804625452,0.558335781,2331,-0.031234,0.236968249,0.999819279,0.820658267,0.025474254,0.768239379,1002183.929,720683.215
23,F18-1108,3,Mulato II,Villa Paola,9/18/2018,1002176.363,720684.917,633.046,-77.03286007,2.041289917,59.77,27.41,93.11,15.1,48.6,30,0.72,56.23844,8.67,65.38,10.07,829,988,1054,3377,4.073582649,1.2714113,1.066801667,0.312111348,1.191797376,0.937381387,0.292567372,0.83906883,0.786527514,0.245484158,0.524260879,1.201861501,0.364804178,0.687893867,3.418016195,3.203984737,0.547308147,0.786302626,0.54728806,2323,-0.032321252,0.245484158,0.999815166,0.789967835,0.024099508,0.762130439,1002176.363,720684.917
24,F18-1109,4,Mulato II,Villa Paola,9/18/2018,1002168.081,720686.869,633.399,-77.03288687,2.041296272,*,*,91.8,3.7,12.4,21,0.56,13.5864,11.86,56.13,9.82,686,893,924,3499,5.100583076,1.346938729,1.03471446,0.264075458,1.301749229,0.966450214,0.255215764,0.76819706,0.74242425,0.196056023,0.582184017,1.523473978,0.453696519,0.735932529,3.918253183,3.78679657,0.593351543,0.87317735,0.593329906,2575,-0.01706109,0.196056023,0.999849081,0.945969284,0.051825676,0.791092038,1002168.081,720686.869
25,F18-1110,5,Mulato II,Villa Paola,9/18/2018,1002155.918,720687.574,632.329,-77.03292623,2.041298569,67.78,33.36,92.94,13.7,39.2,29,0.77,50.93112,7.49,59.06,11.31,752,912,1021,3084,4.101063728,1.357712746,1.119517565,0.331063569,1.212765932,0.893241942,0.295719832,0.824561417,0.736532807,0.243839175,0.502557874,1.138469934,0.347283006,0.668941081,3.381578922,3.020568132,0.543543518,0.75374496,0.543521821,2063,-0.056389034,0.243839175,0.999785304,0.73797816,0.014178482,0.751278937,1002155.918,720687.574
26,F18-1111,1,Mombaza,Villa Paola,9/18/2018,1002260.365,720630.788,635.315,-77.03258824,2.041113687,60.84,29.5,91.99,12,44,50,0.73,44.1552,18.72,70.54,10.92,893,1085,1203,3303,3.698768139,1.347144485,1.108755708,0.364214361,1.215005636,0.901911914,0.328489244,0.823041499,0.742310882,0.270360291,0.46604526,0.985080838,0.304886907,0.635788441,3.044239521,2.745635986,0.505469441,0.698990345,0.505451024,2100,-0.051573426,0.270360291,0.999779463,0.656996071,0.01734646,0.73302263,1002260.365,720630.788
27,F18-1112,2,Mombaza,Villa Paola,9/18/2018,1002268.598,720630.456,635.478,-77.0325616,2.041112607,*,*,92.34,5.6,18.6,28,0.44,20.68416,14.3,66.69,10.47,925,1132,1245,3287,3.553513527,1.345945954,1.099823356,0.378764838,1.223783731,0.909236968,0.344386965,0.817137837,0.742971897,0.281411618,0.450573713,0.925761938,0.288491428,0.621237397,2.903710365,2.640160561,0.487666905,0.675786018,0.487649232,2042,-0.047538914,0.281411618,0.999769568,0.624857128,0.021199819,0.725286841,1002268.598,720630.456
28,F18-1113,3,Mombaza,Villa Paola,9/18/2018,1002275.325,720629.799,636.172,-77.03253983,2.041110465,61.25,28.53,91.74,8.5,34.9,33,0.57,31.1916,19.89,70.34,10.71,983,1140,1253,3246,3.302136421,1.274669409,1.099122763,0.386013567,1.159715176,0.909816444,0.351201475,0.862280726,0.784517169,0.302834272,0.442987323,0.875890374,0.274707109,0.613988459,2.847368479,2.590582609,0.48016417,0.664407134,0.480146617,1993,-0.047221061,0.302834272,0.999762177,0.609528661,0.009743135,0.721493661,1002275.325,720629.799
29,F18-1114,4,Mombaza,Villa Paola,9/18/2018,1002287.513,720627.638,636.187,-77.03250039,2.041103431,*,*,91.87,5.3,19.5,32,0.49,19.47644,15.82,68.99,10.13,868,1009,1157,3027,3.487327099,1.332949281,1.146679878,0.382226616,1.162442446,0.872082949,0.333333343,0.860257685,0.750216067,0.286752552,0.44694072,0.90834403,0.283677191,0.617775679,3,2.616248846,0.5,0.670331001,0.499980181,1870,-0.068328716,0.286752552,0.999747515,0.617482305,-0.001731388,0.72347039,1002287.513,720627.638
30,F18-1115,5,Mombaza,Villa Paola,9/18/2018,1002301.83,720629.271,637.208,-77.03245406,2.041108747,63.96,33.13,92.22,8.1,30.1,44,0.54,29.87928,13.39,68.41,11.25,809,974,1101,3134,3.873918533,1.360939384,1.130390167,0.351308227,1.203955531,0.88465029,0.310784936,0.830595493,0.73478657,0.25813657,0.480047226,1.045202374,0.321504265,0.64869529,3.217659235,2.846503258,0.525803328,0.719985843,0.525782824,2033,-0.061204821,0.25813657,0.999775827,0.687158287,0.009849663,0.740023613,1002301.83,720629.271
31,F18-1116,1,Angleton,Atoca,9/19/2018,1001287.667,718739.228,633.853,-77.03573596,2.030955388,74.98,44.14,93.87,25,37,14,0.37,93.87,3,37.83,14.8,1024,1260,1406,3208,3.1328125,1.373046875,1.115872979,0.438279301,1.23046875,0.896159291,0.392768085,0.812698424,0.728307247,0.319202006,0.390550494,0.725419998,0.233117729,0.561721265,2.546031713,2.281650066,0.435989261,0.585762262,0.435973644,1802,-0.05476369,0.319202006,0.999726772,0.510513186,0.018181818,0.695275247,1001287.667,718739.228
32,F18-1117,2,Angleton,Atoca,9/19/2018,1001305.52,718741.606,632.79,-77.03567819,2.030963131,*,*,92.7,3.4,4.2,8,0.35,12.6072,3.18,44.35,13.89,996,1199,1335,2994,3.006024122,1.340361476,1.113427877,0.445891798,1.203815222,0.898127317,0.400467604,0.830692232,0.746067405,0.332665324,0.383229375,0.694214106,0.224492565,0.554108679,2.497080803,2.242696524,0.428094447,0.574777663,0.428078085,1659,-0.053670086,0.332665324,0.999702215,0.497563571,0.0141679,0.691614687,1001305.52,718741.606
33,F18-1118,3,Angleton,Atoca,9/19/2018,1001315.09,718727.309,633.098,-77.03564722,2.030916584,72.82,42.19,93.65,14.2,21.8,14,0.37,53.1932,3.1,39.06,15.84,972,1170,1325,2931,3.015432119,1.363168716,1.132478595,0.452064157,1.203703761,0.883018851,0.399181157,0.830769241,0.733584881,0.331627429,0.377349615,0.681376576,0.220944315,0.547936261,2.505128145,2.212075472,0.429407448,0.565957963,0.429390699,1606,-0.062124249,0.331627429,0.999691606,0.487304777,0.009273237,0.688674808,1001315.09,718727.309
34,F18-1119,4,Angleton,Atoca,9/19/2018,1001322.628,718711.9,633.045,-77.03562283,2.030866417,73.62,43.11,93.72,15,20.9,15,0.38,56.232,2.6,37.36,19.03,953,1162,1313,2860,3.00104928,1.37775445,1.129948378,0.459090918,1.219307423,0.884996176,0.40629372,0.82013768,0.725818753,0.333216786,0.370716512,0.664300323,0.216224521,0.54090941,2.46127367,2.178217888,0.42217803,0.55600816,0.422161222,1547,-0.0610101,0.333216786,0.999679029,0.475878626,0.012636165,0.685358226,1001322.628,718711.9
35,F18-1120,5,Angleton,Atoca,9/19/2018,1001337.781,718695.929,632.516,-77.0355738,2.030814419,74.27,44,93.84,33,45.8,27,0.35,123.8688,3.1,37.69,16.9,980,1181,1321,2735,2.790816307,1.347959161,1.118543625,0.482998163,1.205102086,0.894019663,0.431809872,0.829805255,0.741862237,0.35831809,0.348619342,0.592061639,0.196258053,0.517001867,2.315834045,2.070401192,0.396833509,0.522864521,0.396817297,1414,-0.055955235,0.35831809,0.999646842,0.438888878,0.013081707,0.674309671,1001337.781,718695.929
36,F18-1121,1,Mombaza,Atoca,9/19/2018,1001317.922,718644.677,631.448,-77.03563806,2.030647562,75.37,46.02,91.92,44.2,97.5,51,0.37,162.51456,3.95,44.79,11.18,962,1166,1358,2855,2.967775583,1.411642432,1.16466558,0.475656748,1.212058187,0.858615637,0.408406317,0.825042903,0.708394706,0.336952716,0.355328739,0.625200272,0.205417424,0.524343371,2.448542118,2.102356434,0.42004478,0.532929897,0.420028061,1497,-0.076069728,0.336952716,0.99966687,0.449950486,0.002579536,0.677664399,1001317.922,718644.677
37,F18-1122,2,Mombaza,Atoca,9/19/2018,1001307.316,718637.034,631.406,-77.03567238,2.030622679,76.23,47.45,91.83,75.7,151,73,0.35,278.06124,3.82,43.91,10.41,994,1172,1414,2949,2.96680069,1.422535181,1.206484675,0.479484558,1.179074407,0.828854322,0.39742285,0.848122895,0.702970326,0.337063402,0.351822138,0.617034912,0.203160569,0.520515501,2.51621151,2.085572958,0.431206018,0.527672768,0.431189269,1535,-0.09358082,0.337063402,0.999674857,0.444151223,-0.013468013,0.675911069,1001307.316,718637.034
38,F18-1123,3,Mombaza,Atoca,9/19/2018,1001298.497,718637.297,631.189,-77.03570092,2.030623535,72.73,43.03,91.74,19.9,44.1,60,0.4,73.02504,6.24,48.57,11.78,954,1156,1337,2824,2.960167646,1.401467562,1.156574368,0.473441929,1.211740017,0.864622295,0.409348428,0.825259507,0.713537753,0.337818682,0.357366025,0.629134536,0.206504837,0.52655822,2.442906618,2.112191439,0.419095486,0.535984635,0.419078648,1487,-0.072603293,0.337818682,0.999664783,0.453338027,0.004562242,0.678682983,1001298.497,718637.297
39,F18-1124,4,Mombaza,Atoca,9/19/2018,1001288.924,718641.91,630.512,-77.0357319,2.030638553,73.58,44.96,92.01,63.8,135.4,108,0.4,234.80952,4.83,41.34,12.65,981,1151,1406,2814,2.868501425,1.433231354,1.221546531,0.499644637,1.173292518,0.81863445,0.409026295,0.852302372,0.697724044,0.348614067,0.333649278,0.566384077,0.189160869,0.500355363,2.444830656,2.001422405,0.419419914,0.50041467,0.419403017,1408,-0.099726245,0.348614067,0.999644935,0.414716393,-0.018127533,0.666824639,1001288.924,718641.91
40,F18-1125,5,Mombaza,Atoca,9/19/2018,1001280.073,718645.157,630.028,-77.03576054,2.030649124,73.99,44.13,92,50,105.3,103,0.39,184,5.11,42.64,11.59,994,1188,1398,2766,2.782696247,1.406438589,1.176767707,0.505423009,1.195170999,0.849785388,0.429501086,0.83670032,0.711015761,0.359363705,0.328530252,0.546887636,0.183772162,0.49457702,2.328282833,1.978540778,0.399089515,0.49273622,0.399073392,1368,-0.081206493,0.359363705,0.999634624,0.406606108,-0.003355705,0.664265156,1001280.073,718645.157
41,F18-1126,1,Mulato II,Atoca,9/19/2018,1001340.844,718669.919,633.684,-77.03556388,2.030729739,74.85,37.85,92.86,72.1,116.4,37,0.36,267.80824,3.82,43.6,9.77,875,1061,1216,2715,3.102857113,1.389714241,1.1460886,0.447882146,1.212571383,0.872532904,0.390791893,0.82469368,0.719572365,0.322283596,0.381327897,0.700031042,0.22610034,0.552118361,2.558906794,2.23273015,0.438029647,0.571919143,0.43801111,1499,-0.068072021,0.322283596,0.999670148,0.494232357,0.007358177,0.690663934,1001340.844,718669.919
42,F18-1127,2,Mulato II,Atoca,9/19/2018,1001330.105,718673.625,632.321,-77.03559863,2.030741805,72.74,37.31,93.63,91.6,148.9,40,0.34,343.06032,3.79,42.6,11.43,923,1090,1277,2567,2.781148434,1.383531928,1.171559691,0.497467875,1.180931687,0.853563011,0.424620181,0.846789002,0.722787797,0.359563679,0.335587919,0.562253594,0.188019246,0.502532125,2.355045795,2.010179996,0.403882951,0.503316402,0.403865308,1290,-0.079002954,0.359563679,0.99961251,0.417808235,-0.00456621,0.667793989,1001330.105,718673.625
43,F18-1128,3,Mulato II,Atoca,9/19/2018,1001318.926,718672.017,631.125,-77.03563481,2.03073657,73,37.5,93.91,50.8,87.2,35,0.4,190.82512,3.64,45.46,11.96,922,1086,1284,2557,2.773318768,1.392624736,1.182320476,0.502150953,1.177874207,0.84579438,0.424716473,0.848987103,0.71806854,0.360578805,0.331424117,0.552331567,0.185276821,0.497849047,2.354511976,1.991433024,0.40378809,0.497071445,0.403770357,1273,-0.083544306,0.360578805,0.999607325,0.41118142,-0.007766103,0.665712059,1001318.926,718672.017
44,F18-1129,4,Mulato II,Atoca,9/19/2018,1001314.82,718687.013,630.014,-77.0356481,2.030785395,72.62,36.12,93.31,32.3,63.2,33,0.32,120.55652,5.13,47.61,11.46,905,1104,1245,2605,2.878453016,1.375690579,1.127717376,0.477927059,1.219889522,0.886747003,0.423800379,0.819746375,0.726907611,0.347408831,0.353246748,0.611457109,0.20161888,0.52207303,2.359601498,2.092369556,0.404691279,0.529801309,0.404673845,1360,-0.060025543,0.347408831,0.999633133,0.446502477,0.013308858,0.676623404,1001314.82,718687.013
45,F18-1130,5,Mulato II,Atoca,9/19/2018,1001304.612,718685.459,629.985,-77.03568113,2.030780334,75.36,40.08,93.82,226.8,379.6,60,0.42,851.13504,3.83,40.16,10.25,860,1075,1239,2632,3.060465097,1.44069767,1.152558088,0.470744669,1.25,0.86763519,0.408434659,0.800000012,0.694108129,0.326747715,0.359855324,0.6448313,0.210843369,0.529255509,2.448372126,2.124293804,0.420016199,0.539713264,0.41999808,1393,-0.070872948,0.326747715,0.999642372,0.457495749,0.012002824,0.679927647,1001304.612,718685.459
46,F18-1131,1,Toledo,Atoca,9/19/2018,1001274.222,718689.778,624.914,-77.03577947,2.030794396,79.35,48.16,94.74,83.5,161,60,0.29,316.4316,2.48,36.79,7.43,985,1181,1351,2772,2.814213276,1.371573567,1.143945813,0.487373739,1.198984742,0.874167264,0.426046163,0.834038973,0.729089558,0.35533911,0.344651967,0.585634828,0.194481701,0.51262629,2.347163439,2.051813364,0.402479142,0.516915262,0.40246284,1421,-0.067140602,0.35533911,0.999648392,0.432415277,0.00553427,0.672325969,1001274.222,718689.778
47,F18-1132,2,Toledo,Atoca,9/19/2018,1001271.877,718701.513,624.317,-77.03578706,2.030832602,82.57,51.36,94.4,104.8,159.4,105,0.32,395.7248,1.86,33.54,11.95,953,1140,1352,2740,2.87513113,1.418677807,1.185964942,0.493430644,1.196222425,0.84319526,0.416058391,0.835964918,0.704881668,0.347810209,0.33919844,0.579450607,0.192772418,0.506569326,2.403508663,2.026627302,0.412371129,0.508735478,0.412354141,1388,-0.085072234,0.347810209,0.999639869,0.423596561,-0.005452563,0.669599235,1001271.877,718701.513
48,F18-1133,3,Toledo,Atoca,9/19/2018,1001269.211,718715.795,623.874,-77.03579569,2.030879101,76.84,44.21,94.51,55.7,127.4,50,0.38,210.56828,3.93,43.44,10.62,921,1152,1374,2654,2.881650448,1.491856694,1.192708373,0.517709136,1.250814319,0.838427961,0.434061795,0.799479187,0.670305669,0.347023368,0.317775577,0.532189488,0.179709658,0.482290953,2.303819418,1.931586623,0.394640028,0.476604193,0.394623458,1280,-0.087885983,0.347023368,0.999609947,0.389815331,0.001956947,0.658887804,1001269.211,718715.795
